COUNTY,STATE,counter_sum
SUFFOLK,NY,7372
5,AZ,5943
Ocean,NJ,4937
McCurtain,OK,4039
Polk,FL,4010
St. Louis,MN,3895
MONROE,NY,3552
ORANGE,NY,3519
Volusia,FL,3402
Riverside,CA,3274
Atlantic,NJ,3237
Smith,TX,3106
RIVERSIDE,CA,3084
Santa Rosa,FL,3020
NASSAU,NY,2940
ROCKLAND,NY,2854
ERIE,NY,2849
Rusk,TX,2793
Pushmataha,OK,2788
Upshur,TX,2717
Lee,FL,2639
49,ID,2620
Laurens,GA,2578
Mohave,AZ,2568
Cherokee,TX,2545
Levy,FL,2496
QUEENS,NY,2480
Adair,OK,2452
Jasper,TX,2434
Cass,TX,2417
Highlands,FL,2353
29,OR,2348
Collier,FL,2289
Charlotte,FL,2228
Marion,FL,2226
Cumberland,NJ,2188
WESTCHESTER,NY,2178
Mobile,AL,2144
Cherokee,OK,2120
RICHMOND,NY,2114
Putnam,FL,2073
Lincoln,NV,2037
Harrison,TX,2028
Latimer,OK,2023
Anderson,TX,1988
18,OR,1961
Navarro,TX,1951
Bowie,TX,1942
Burlington,NJ,1909
Pine,MN,1903
Wood,TX,1893
ST LAWRENCE,NY,1871
RENSSELAER,NY,1869
Richmond,NC,1868
Camden,NJ,1863
Rio Blanco,CO,1863
Maricopa,AZ,1857
ALBANY,NY,1847
Bastrop,TX,1845
KINGS,NY,1839
DUTCHESS,NY,1836
Sarasota,FL,1826
89,SC,1803
Elko,NV,1801
ULSTER,NY,1781
Suwannee,FL,1756
Lake,FL,1746
Newton,TX,1732
Robeson,NC,1729
Hidalgo,TX,1723
33,OR,1723
Alachua,FL,1708
Walton,FL,1706
Delaware,OK,1704
Erath,TX,1697
Crow Wing,MN,1672
Laurens             ,GA,1668
Lamar,MS,1661
Citrus,FL,1653
SARATOGA,NY,1653
Morrison,MN,1632
Baldwin,AL,1627
Morris,NJ,1614
Moffat,CO,1600
Kanawha,WV,1592
BRONX,NY,1591
Pearl River,MS,1586
17,OR,1585
Brevard,FL,1585
Spokane County,WA,1584
Montgomery,TX,1566
8,SC,1556
Hunt,TX,1552
Bay,FL,1541
Moore,NC,1534
Jefferson Davis,MS,1505
Atascosa,TX,1493
10,OR,1486
Harnett,NC,1485
FRESNO,CA,1472
Red River,TX,1467
Taylor,FL,1457
Dodge,GA,1456
Mesa,CO,1455
Okeechobee,FL,1444
JEFFERSON,NY,1436
Bell,TX,1436
Harrison,MS,1436
Columbia,FL,1434
Kaufman,TX,1428
Flagler,FL,1426
Clay,FL,1420
Henderson,TX,1414
Itasca,MN,1411
Palo Pinto,TX,1408
Sussex,NJ,1404
Missoula,MT,1392
20,OR,1386
Gregg,TX,1386
Titus,TX,1374
Duval,FL,1371
Panola,TX,1371
Sequoyah,OK,1364
Tyler,TX,1362
Le Flore,OK,1355
Pasco,FL,1350
Hancock,MS,1347
Beauregard,LA,1346
Marion,MS,1339
Ada,ID,1330
Beltrami,MN,1322
Cass,MN,1318
ONONDAGA,NY,1312
Middlesex,NJ,1311
Polk,GA,1311
White Pine,NV,1300
Tooele,UT,1294
Orange,FL,1291
005,AZ,1288
Jackson,FL,1288
Hardin,TX,1287
Tarrant,TX,1283
Caldwell,NC,1280
Hill,TX,1267
Becker,MN,1267
Kern,CA,1258
San Juan,UT,1256
Cooke,TX,1255
ONEIDA,NY,1253
Stevens County,WA,1252
Lincoln,MS,1246
Pittsburg,OK,1244
MERCED,CA,1243
Aitkin,MN,1238
Perry,KY,1238
NIAGARA,NY,1231
Litchfield,CT,1223
Angelina,TX,1221
Clearwater,ID,1218
CLINTON,NY,1206
Scotland,NC,1205
Jackson,MS,1204
Wichita,TX,1198
Wayne,WV,1197
San Juan,NM,1195
29,SC,1194
Ware,GA,1189
Marinette,WI,1187
Escambia,FL,1181
Washington,GA,1180
Collin,TX,1176
